omega,Z_re_exp, Z_im_exp
0.0585167228806873,0.0059037684,-0.0015759115
0.073145902815461,0.0057388577,-0.0013762877
0.102404265198282,0.0055251499,-0.0011229047
0.131662627581104,0.0053971787,-0.00096647855
0.160920989963925,0.0053179273,-0.00084524695
0.204808530396565,0.0052275578,-0.00072484021
0.263325255162208,0.0051419241,-0.00061617774
0.321841979927851,0.0050863023,-0.00054461212
0.40961706079313,0.0050385431,-0.00045775058
0.512021325991412,0.0049994029,-0.00040029659
0.658313137905519,0.0049494077,-0.00033935858
0.81923412158626,0.0049303146,-0.00029267545
1.03867185516538,0.0049035605,-0.00025913521
1.31662627581104,0.0048818574,-0.00022838252
1.66772658670578,0.0048576323,-0.00020123593
2.10660205386403,0.0048366045,-0.00017050178
2.66251089515534,0.0048242784,-0.00016462906
3.36471157977669,0.0048125829,-0.00014065423
4.25709140311648,0.0047928458,-0.00013059085
5.36890914853095,0.0047881249,-0.00010821626
6.78793997228361,0.0047618011,-0.00012012554
8.58732863365019,0.0047471607,-0.00010675551
10.854851671195,0.0047396827,-0.0001151508
13.7221713480743,0.0047308835,-0.00011481276
17.3355784394767,0.0047241068,-0.00010846369
21.9145125639369,0.00471238,-0.00011203043
27.6784095700784,0.0046953661,-0.00012770121
34.992999223306,0.0046865055,-0.00013188807
44.2093834053107,0.0046605985,-0.00014636198
55.8980979614515,0.0046593016,-0.00016671699
70.6589426726556,0.0046344302,-0.00017830553
89.2526284389301,0.0046159248,-0.00020566618
112.834868029396,0.0045877914,-0.00022511468
142.663762487665,0.0045476044,-0.00025920509
180.20225098155,0.004507428,-0.00029294193
227.703194735681,0.0044634948,-0.00032793963
287.829106090345,0.0044142846,-0.00035223772
363.798452471367,0.0043558846,-0.00039301551
459.897553780265,0.0042858119,-0.00041878037
581.422148770899,0.0042147879,-0.00044296851
734.809096896692,0.0041281688,-0.00045479828
927.841115903863,0.0040384089,-0.00046610759
1173.02621189845,0.0039561596,-0.00047885193
1483.17944396928,0.0038676499,-0.00047028391
1873.04713387303,0.0037774039,-0.00046054387
2367.93770069961,0.0036888993,-0.00044175831
2994.08124399164,0.0036058144,-0.00041262037
3781.20433025146,0.003509155,-0.00038143093
4783.01041244106,0.0034532545,-0.00033303836
6044.66013628319,0.0033818206,-0.00027218863
7640.35270521185,0.0033192835,-0.00019796912
9647.60798609585,0.0032685795,-0.00011912013
12201.9502647725,0.003236911,-3.5926867e-05
